objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
embroidery001,aquarius.jpg,,Aquarius,image/jpeg,Aquarius zodiac sign,L Eames,,2021,,,zodiac,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery002,beecomplete.jpg,,Bee Garden,image/jpeg,Complete bee garden,L Eames,,2023,,,nature,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery003,beepattern.jpg,,Bee Garden Pattern,image/jpeg,Pattern for bee garden,L Eames,,2023,,,nature;pattern,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery004,bluecorpseheart.png,,Blue Corpse Heart,image/png,Stoicist quote on blue heart,L Eames,,2022,,,stoicism;anatomy;text,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery005,campingandhiking.jpg,,Camping and Hiking,image/jpeg,Adventures I don't tend to go on,L Eames,,2021,,,nature;activity,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery006,campingtogether.jpg,,Camping Together,image/jpeg,Adventures I could maybe go on,L Eames,,2021,,,nature;activity,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery007,coffee.jpg,,Coffee ,image/jpeg,Early work,L Eames,,2020,,,coffee,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery008,firstday.jpg,,First Day,image/jpeg,Embroidery on photo,L Eames,,2023,,,childhood;photo,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery009,fisheye.jpg,,Fish Eye,image/jpeg,Tropical fish and female figure,L Eames,,2022,,,nature;fish,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery010,gemini.jpg,,Gemini,image/jpeg,Gemini zodiac sign,L Eames,,2021,,,zodiac,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery011,hikingtogether.jpg,,Hiking Together,image/jpeg,Adventures I don't tend to go on ,L Eames,,2021,,,nature;activity,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery012,knowingmuch.jpg,,Knowing Much Doesn't Teach You How to Think,image/jpeg,Quote in Greek with owls,L Eames,,2021,,,greek;nature;text,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery013,lovehouse.jpg,,Casa Cheia de Amor,image/jpeg,House full of love in portuguese,L Eames,,2020,,,text;portuguese,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery014,mcm.jpg,,M C M,image/jpeg,A marxist inside joke,L Eames,,2023,,,marxism,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery015,pianorecital.jpg,,Piano Recital,image/jpeg,Embroidery on photo,L Eames,,2023,,,childhood;photo,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery016,redcorpseheart.jpg,,Red Corpse Heart,image/jpeg,Stoicist quote on red heart,L Eames,,2022,,,stoicism;anatomy;text,,,,,Creator,Creator,,,,,,Image;StillImage,,
embroidery017,taughtbyhorrors.jpg,,Taught by Horrors,image/jpeg,Aeschylus quote embroidered on a photo,L Eames,,2023,,,tragedy;text;childhood,,,,,Creator,Creator,,,,,,Image;StillImage,,
